Day of ResultTime;Measure Names;ResultTime;Measure Values
22. november 2020;Total number of cases;22.11.2020;9724
21. november 2020;Total number of cases;21.11.2020;9722
20. november 2020;Total number of cases;20.11.2020;9555
19. november 2020;Total number of cases;19.11.2020;9213
18. november 2020;Total number of cases;18.11.2020;8930
17. november 2020;Total number of cases;17.11.2020;8532
16. november 2020;Total number of cases;16.11.2020;8209
15. november 2020;Total number of cases;15.11.2020;7939
14. november 2020;Total number of cases;14.11.2020;7751
13. november 2020;Total number of cases;13.11.2020;7558
12. november 2020;Total number of cases;12.11.2020;7305
11. november 2020;Total number of cases;11.11.2020;7046
10. november 2020;Total number of cases;10.11.2020;6757
9. november 2020;Total number of cases;09.11.2020;6481
8. november 2020;Total number of cases;08.11.2020;6272
7. november 2020;Total number of cases;07.11.2020;6181
6. november 2020;Total number of cases;06.11.2020;6070
5. november 2020;Total number of cases;05.11.2020;5860
4. november 2020;Total number of cases;04.11.2020;5605
3. november 2020;Total number of cases;03.11.2020;5385
2. november 2020;Total number of cases;02.11.2020;5224
1. november 2020;Total number of cases;01.11.2020;5075
31. oktoober 2020;Total number of cases;31.10.2020;5008
30. oktoober 2020;Total number of cases;30.10.2020;4965
29. oktoober 2020;Total number of cases;29.10.2020;4865
28. oktoober 2020;Total number of cases;28.10.2020;4748
27. oktoober 2020;Total number of cases;27.10.2020;4639
26. oktoober 2020;Total number of cases;26.10.2020;4540
25. oktoober 2020;Total number of cases;25.10.2020;4436
24. oktoober 2020;Total number of cases;24.10.2020;4417
23. oktoober 2020;Total number of cases;23.10.2020;4370
22. oktoober 2020;Total number of cases;22.10.2020;4311
21. oktoober 2020;Total number of cases;21.10.2020;4254
20. oktoober 2020;Total number of cases;20.10.2020;4188
19. oktoober 2020;Total number of cases;19.10.2020;4138
18. oktoober 2020;Total number of cases;18.10.2020;4091
17. oktoober 2020;Total number of cases;17.10.2020;4084
16. oktoober 2020;Total number of cases;16.10.2020;4067
15. oktoober 2020;Total number of cases;15.10.2020;4040
14. oktoober 2020;Total number of cases;14.10.2020;4004
13. oktoober 2020;Total number of cases;13.10.2020;3967
12. oktoober 2020;Total number of cases;12.10.2020;3927
11. oktoober 2020;Total number of cases;11.10.2020;3893
10. oktoober 2020;Total number of cases;10.10.2020;3874
9. oktoober 2020;Total number of cases;09.10.2020;3857
8. oktoober 2020;Total number of cases;08.10.2020;3825
7. oktoober 2020;Total number of cases;07.10.2020;3774
6. oktoober 2020;Total number of cases;06.10.2020;3727
5. oktoober 2020;Total number of cases;05.10.2020;3676
4. oktoober 2020;Total number of cases;04.10.2020;3624
3. oktoober 2020;Total number of cases;03.10.2020;3614
2. oktoober 2020;Total number of cases;02.10.2020;3588
1. oktoober 2020;Total number of cases;01.10.2020;3540
30. september 2020;Total number of cases;30.09.2020;3471
29. september 2020;Total number of cases;29.09.2020;3408
28. september 2020;Total number of cases;28.09.2020;3345
27. september 2020;Total number of cases;27.09.2020;3287
26. september 2020;Total number of cases;26.09.2020;3270
25. september 2020;Total number of cases;25.09.2020;3225
24. september 2020;Total number of cases;24.09.2020;3167
23. september 2020;Total number of cases;23.09.2020;3111
22. september 2020;Total number of cases;22.09.2020;3058
21. september 2020;Total number of cases;21.09.2020;2995
20. september 2020;Total number of cases;20.09.2020;2959
19. september 2020;Total number of cases;19.09.2020;2928
18. september 2020;Total number of cases;18.09.2020;2897
17. september 2020;Total number of cases;17.09.2020;2828
16. september 2020;Total number of cases;16.09.2020;2783
15. september 2020;Total number of cases;15.09.2020;2765
14. september 2020;Total number of cases;14.09.2020;2730
13. september 2020;Total number of cases;13.09.2020;2707
12. september 2020;Total number of cases;12.09.2020;2685
11. september 2020;Total number of cases;11.09.2020;2660
10. september 2020;Total number of cases;10.09.2020;2635
9. september 2020;Total number of cases;09.09.2020;2611
8. september 2020;Total number of cases;08.09.2020;2588
7. september 2020;Total number of cases;07.09.2020;2568
6. september 2020;Total number of cases;06.09.2020;2545
5. september 2020;Total number of cases;05.09.2020;2538
4. september 2020;Total number of cases;04.09.2020;2496
3. september 2020;Total number of cases;03.09.2020;2462
2. september 2020;Total number of cases;02.09.2020;2448
1. september 2020;Total number of cases;01.09.2020;2421
31. august 2020;Total number of cases;31.08.2020;2401
30. august 2020;Total number of cases;30.08.2020;2383
29. august 2020;Total number of cases;29.08.2020;2375
28. august 2020;Total number of cases;28.08.2020;2366
27. august 2020;Total number of cases;27.08.2020;2344
26. august 2020;Total number of cases;26.08.2020;2328
25. august 2020;Total number of cases;25.08.2020;2313
24. august 2020;Total number of cases;24.08.2020;2298
23. august 2020;Total number of cases;23.08.2020;2277
22. august 2020;Total number of cases;22.08.2020;2275
21. august 2020;Total number of cases;21.08.2020;2271
20. august 2020;Total number of cases;20.08.2020;2249
19. august 2020;Total number of cases;19.08.2020;2236
18. august 2020;Total number of cases;18.08.2020;2213
17. august 2020;Total number of cases;17.08.2020;2202
16. august 2020;Total number of cases;16.08.2020;2194
15. august 2020;Total number of cases;15.08.2020;2192
14. august 2020;Total number of cases;14.08.2020;2188
13. august 2020;Total number of cases;13.08.2020;2181
12. august 2020;Total number of cases;12.08.2020;2178
11. august 2020;Total number of cases;11.08.2020;2176
10. august 2020;Total number of cases;10.08.2020;2170
9. august 2020;Total number of cases;09.08.2020;2165
8. august 2020;Total number of cases;08.08.2020;2158
7. august 2020;Total number of cases;07.08.2020;2151
6. august 2020;Total number of cases;06.08.2020;2139
5. august 2020;Total number of cases;05.08.2020;2129
4. august 2020;Total number of cases;04.08.2020;2116
3. august 2020;Total number of cases;03.08.2020;2101
1. august 2020;Total number of cases;01.08.2020;2083
31. juuli 2020;Total number of cases;31.07.2020;2081
30. juuli 2020;Total number of cases;30.07.2020;2069
29. juuli 2020;Total number of cases;29.07.2020;2057
28. juuli 2020;Total number of cases;28.07.2020;2044
27. juuli 2020;Total number of cases;27.07.2020;2042
26. juuli 2020;Total number of cases;26.07.2020;2038
24. juuli 2020;Total number of cases;24.07.2020;2036
23. juuli 2020;Total number of cases;23.07.2020;2034
22. juuli 2020;Total number of cases;22.07.2020;2031
21. juuli 2020;Total number of cases;21.07.2020;2028
20. juuli 2020;Total number of cases;20.07.2020;2024
17. juuli 2020;Total number of cases;17.07.2020;2023
