Date,Hospitalized
26.02.2020,1
27.02.2020,1
28.02.2020,1
29.02.2020,1
01.03.2020,1
02.03.2020,1
03.03.2020,1
04.03.2020,1
05.03.2020,1
06.03.2020,1
07.03.2020,1
08.03.2020,1
09.03.2020,1
10.03.2020,2
11.03.2020,2
12.03.2020,2
13.03.2020,2
14.03.2020,3
15.03.2020,4
16.03.2020,7
17.03.2020,10
18.03.2020,14
19.03.2020,21
20.03.2020,27
21.03.2020,27
22.03.2020,31
23.03.2020,38
24.03.2020,40
25.03.2020,49
26.03.2020,55
27.03.2020,66
28.03.2020,72
29.03.2020,88
30.03.2020,101
31.03.2020,107
01.04.2020,108
02.04.2020,100
03.04.2020,126
04.04.2020,137
05.04.2020,136
06.04.2020,138
07.04.2020,144
08.04.2020,144
09.04.2020,143
10.04.2020,144
11.04.2020,155
12.04.2020,159
13.04.2020,159
14.04.2020,149
15.04.2020,147
16.04.2020,136
17.04.2020,135
18.04.2020,124
19.04.2020,125
20.04.2020,126
21.04.2020,123
22.04.2020,115
23.04.2020,114
24.04.2020,111
25.04.2020,102
26.04.2020,96
27.04.2020,99
28.04.2020,93
29.04.2020,87
30.04.2020,79
01.05.2020,79
02.05.2020,80
03.05.2020,77
04.05.2020,78
05.05.2020,69
06.05.2020,67
07.05.2020,61
08.05.2020,55
09.05.2020,49
10.05.2020,49
11.05.2020,48
12.05.2020,47
13.05.2020,45
14.05.2020,44
15.05.2020,42
16.05.2020,41
17.05.2020,43
18.05.2020,50
19.05.2020,45
20.05.2020,40
21.05.2020,40
22.05.2020,41
23.05.2020,40
24.05.2020,41
25.05.2020,41
26.05.2020,37
27.05.2020,32
28.05.2020,34
29.05.2020,32
30.05.2020,28
31.05.2020,27
01.06.2020,28
02.06.2020,23
03.06.2020,21
04.06.2020,22
05.06.2020,17
06.06.2020,14
07.06.2020,15
08.06.2020,18
09.06.2020,17
10.06.2020,17
11.06.2020,18
12.06.2020,15
13.06.2020,15
14.06.2020,15
15.06.2020,16
16.06.2020,15
17.06.2020,14
18.06.2020,13
19.06.2020,11
20.06.2020,8
21.06.2020,8
22.06.2020,6
23.06.2020,6
24.06.2020,7
25.06.2020,7
26.06.2020,5
27.06.2020,4
28.06.2020,5
29.06.2020,5
30.06.2020,4
01.07.2020,4
02.07.2020,3
03.07.2020,3
04.07.2020,3
05.07.2020,3
06.07.2020,3
07.07.2020,3
08.07.2020,3
09.07.2020,5
10.07.2020,5
11.07.2020,4
12.07.2020,4
13.07.2020,4
14.07.2020,4
15.07.2020,4
16.07.2020,4
17.07.2020,4
18.07.2020,4
19.07.2020,4
20.07.2020,4
21.07.2020,4
22.07.2020,4
23.07.2020,3
24.07.2020,3
25.07.2020,3
26.07.2020,3
27.07.2020,3
28.07.2020,3
29.07.2020,4
30.07.2020,4
31.07.2020,4
01.08.2020,5
02.08.2020,5
03.08.2020,9
04.08.2020,9
05.08.2020,10
06.08.2020,9
07.08.2020,9
08.08.2020,8
09.08.2020,8
10.08.2020,9
11.08.2020,9
12.08.2020,9
13.08.2020,8
14.08.2020,8
15.08.2020,8
16.08.2020,8
17.08.2020,7
18.08.2020,7
19.08.2020,10
20.08.2020,10
21.08.2020,11
22.08.2020,11
23.08.2020,12
24.08.2020,12
25.08.2020,11
26.08.2020,11
27.08.2020,13
28.08.2020,12
29.08.2020,10
30.08.2020,10
31.08.2020,9
01.09.2020,9
02.09.2020,11
03.09.2020,10
04.09.2020,11
05.09.2020,7
06.09.2020,7
07.09.2020,7
08.09.2020,7
09.09.2020,9
10.09.2020,13
11.09.2020,16
12.09.2020,14
13.09.2020,16
14.09.2020,21
15.09.2020,21
16.09.2020,23
17.09.2020,23
18.09.2020,24
19.09.2020,22
20.09.2020,22
21.09.2020,32
22.09.2020,36
23.09.2020,33
24.09.2020,35
25.09.2020,36
26.09.2020,30
27.09.2020,32
28.09.2020,39
29.09.2020,42
30.09.2020,39
01.10.2020,39
02.10.2020,41
03.10.2020,41
04.10.2020,42
05.10.2020,44
06.10.2020,40
07.10.2020,45
08.10.2020,45
09.10.2020,37
10.10.2020,31
11.10.2020,32
12.10.2020,34
13.10.2020,39
14.10.2020,39
15.10.2020,39
16.10.2020,40
17.10.2020,34
18.10.2020,36
19.10.2020,38
20.10.2020,31
21.10.2020,34
22.10.2020,34
23.10.2020,33
24.10.2020,29
25.10.2020,31
26.10.2020,37
27.10.2020,38
28.10.2020,35
29.10.2020,43
30.10.2020,43
31.10.2020,43
01.11.2020,46
02.11.2020,51
03.11.2020,48
04.11.2020,59
05.11.2020,62
06.11.2020,60
07.11.2020,59
08.11.2020,62
09.11.2020,70
10.11.2020,71
11.11.2020,76
12.11.2020,86
13.11.2020,90
14.11.2020,88
15.11.2020,92
16.11.2020,100
17.11.2020,110
18.11.2020,123
19.11.2020,131
20.11.2020,153
21.11.2020,152
